athlete_id,athlete_display_name,team,pos,headshot,gp,min_pg,pts_pg,reb_pg,ast_pg,bpm,impact
4702382.0,Tristan da Silva,ORL,F,https://a.espncdn.com/i/headshots/nba/players/full/4702382.png,77,24.69,9.9,3.69,1.61,-0.6,-0.31
3912848.0,Dean Wade,PHI,F,https://a.espncdn.com/i/headshots/nba/players/full/3912848.png,59,22.39,5.8,4.19,1.49,-0.6,-0.28
4277847.0,Wendell Carter Jr.,ORL,C,https://a.espncdn.com/i/headshots/nba/players/full/4277847.png,78,29.36,11.82,7.4,1.97,-0.6,-0.37
4278594.0,Naji Marshall,DAL,F,https://a.espncdn.com/i/headshots/nba/players/full/4278594.png,74,29.5,15.24,4.7,3.26,-0.6,-0.37
4277961.0,Jaren Jackson Jr.,MEM,F,https://a.espncdn.com/i/headshots/nba/players/full/4277961.png,48,30.33,19.4,5.67,1.96,-0.6,-0.38
4712849.0,Anthony Black,ORL,G,https://a.espncdn.com/i/headshots/nba/players/full/4712849.png,64,29.89,14.98,3.81,3.69,-0.6,-0.37
4873201.0,Asa Newell,ATL,F,https://a.espncdn.com/i/headshots/nba/players/full/4873201.png,43,11.67,5.28,2.23,0.6,-0.62,-0.15
4432179.0,MarJon Beauchamp,PHI,F,https://a.espncdn.com/i/headshots/nba/players/full/4432179.png,14,14.0,6.79,2.29,1.07,-0.62,-0.18
4433268.0,Trey Alexander,NOP,G,https://a.espncdn.com/i/headshots/nba/players/full/4433268.png,9,12.33,5.22,1.22,1.0,-0.62,-0.16
2488653.0,Mason Plumlee,CHA,C,https://a.espncdn.com/i/headshots/nba/players/full/2488653.png,20,8.6,1.55,2.65,1.0,-0.62,-0.11
4277905.0,Trae Young,WAS,G,https://a.espncdn.com/i/headshots/nba/players/full/4277905.png,15,25.47,17.93,2.0,8.0,-0.62,-0.33
3136776.0,D'Angelo Russell,MEM,G,https://a.espncdn.com/i/headshots/nba/players/full/3136776.png,26,19.04,10.15,2.35,4.0,-0.63,-0.25
4683678.0,Scoot Henderson,POR,G,https://a.espncdn.com/i/headshots/nba/players/full/4683678.png,30,24.9,14.23,2.67,3.73,-0.64,-0.33
5239561.0,Jase Richardson,ORL,G,https://a.espncdn.com/i/headshots/nba/players/full/5239561.png,54,10.91,4.43,1.17,1.07,-0.65,-0.15
4565201.0,Malaki Branham,WAS,G,https://a.espncdn.com/i/headshots/nba/players/full/4565201.png,26,10.62,4.92,1.69,0.88,-0.66,-0.15
4066993.0,Dru Smith,MIA,G,https://a.espncdn.com/i/headshots/nba/players/full/4066993.png,70,16.37,5.64,2.47,2.57,-0.69,-0.24
4431785.0,Scotty Pippen Jr.,MEM,G,https://a.espncdn.com/i/headshots/nba/players/full/4431785.png,10,21.2,11.4,2.2,4.7,-0.69,-0.3
2528210.0,Tim Hardaway Jr.,MIA,G,https://a.espncdn.com/i/headshots/nba/players/full/2528210.png,80,26.65,13.49,2.58,1.35,-0.7,-0.39
4432639.0,Jabari Smith Jr.,HOU,F,https://a.espncdn.com/i/headshots/nba/players/full/4432639.png,77,35.14,15.78,6.87,1.86,-0.7,-0.51
4433133.0,Jahmir Young,MIA,G,https://a.espncdn.com/i/headshots/nba/players/full/4433133.png,13,4.46,1.92,0.31,0.69,-0.72,-0.07
5093267.0,Collin Murray-Boyles,TOR,F,https://a.espncdn.com/i/headshots/nba/players/full/5093267.png,57,21.84,8.49,5.0,1.86,-0.72,-0.33
4593125.0,Santi Aldama,DAL,F,https://a.espncdn.com/i/headshots/nba/players/full/4593125.png,43,27.84,14.0,6.67,2.93,-0.72,-0.42
6478.0,Nikola Vucevic,ORL,C,https://a.espncdn.com/i/headshots/nba/players/full/6478.png,64,28.42,15.08,8.39,3.33,-0.74,-0.44
4433083.0,Cam Spencer,MEM,G,https://a.espncdn.com/i/headshots/nba/players/full/4433083.png,72,23.85,11.08,2.54,5.56,-0.76,-0.38
4683689.0,Jordan Walsh,BOS,G,https://a.espncdn.com/i/headshots/nba/players/full/4683689.png,68,17.85,5.35,4.0,0.79,-0.76,-0.28
4781746.0,Javon Small,MEM,G,https://a.espncdn.com/i/headshots/nba/players/full/4781746.png,40,20.75,9.9,3.2,3.78,-0.78,-0.34
2578239.0,Pat Connaughton,CHA,G,https://a.espncdn.com/i/headshots/nba/players/full/2578239.png,42,7.0,2.62,1.45,0.43,-0.79,-0.12
4397140.0,Kevin Porter Jr.,MIL,G,https://a.espncdn.com/i/headshots/nba/players/full/4397140.png,38,33.18,17.39,5.21,7.37,-0.79,-0.55
4702972.0,Chris Manon,LAL,G,https://a.espncdn.com/i/headshots/nba/players/full/4702972.png,9,5.22,0.78,1.11,0.33,-0.79,-0.09
2991139.0,Kris Dunn,LAC,G,https://a.espncdn.com/i/headshots/nba/players/full/2991139.png,82,27.22,7.27,3.3,3.6,-0.8,-0.45
4869780.0,Derik Queen,NOP,C,https://a.espncdn.com/i/headshots/nba/players/full/4869780.png,81,25.04,11.7,7.06,3.68,-0.8,-0.42
4431695.0,Drew Timme,LAL,F,https://a.espncdn.com/i/headshots/nba/players/full/4431695.png,26,9.08,3.54,1.27,0.88,-0.81,-0.15
2489663.0,Kelly Olynyk,SAS,F,https://a.espncdn.com/i/headshots/nba/players/full/2489663.png,41,8.83,3.24,1.85,1.2,-0.81,-0.15
4576060.0,Ryan Kalkbrenner,CHA,C,https://a.espncdn.com/i/headshots/nba/players/full/4576060.png,69,21.45,7.55,5.46,0.78,-0.81,-0.36
4683771.0,Ronald Holland II,DET,F,https://a.espncdn.com/i/headshots/nba/players/full/4683771.png,78,19.79,8.21,4.04,1.22,-0.82,-0.34
4997538.0,Karlo Matkovic,NOP,F,https://a.espncdn.com/i/headshots/nba/players/full/4997538.png,62,14.68,5.68,3.69,0.81,-0.82,-0.25
4433247.0,Jonathan Kuminga,GSW,F,https://a.espncdn.com/i/headshots/nba/players/full/4433247.png,36,23.08,12.17,5.61,2.31,-0.83,-0.4
4431823.0,Miles McBride,NYK,G,https://a.espncdn.com/i/headshots/nba/players/full/4431823.png,41,26.34,11.98,2.44,2.59,-0.83,-0.46
